,titulo,ubicacion,precio,area_m2,habitaciones,banos,parqueaderos,url
0,"Bodega en Arriendo, Cristo Rey, Medellín",cristo rey,3.980.000,165.0,0,2,0,https://www.metrocuadrado.com/inmueble/arriendo-bodega-medellin-cristo-rey-2-banos/737-M5859490
1,"Apartamento en Arriendo, La America, Medellín",la america,2.350.000,65.0,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-pinos-2-habitaciones-2-banos-1-garajes/18177-M5963027
2,"Apartamento en Arriendo, El Poblado, Medellín",el poblado,15.000.000,270.0,4,5,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-na-4-habitaciones-5-banos-2-garajes/19797-M6051464
3,"Local Comercial en Arriendo, Villa Nueva, Medellín",villa nueva,10.000.000,144.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-villa-nueva/19474-M5674368
4,"Apartamento en Arriendo, Los Colores, Medellín",los colores,2.850.000,60.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-german-3-habitaciones-2-banos-1-garajes/17136-M6065913
5,"Apartamento en Arriendo, CALASANZ PARTE ALTA, Medellín",calasanz parte alta,2.250.000,57.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-alcazares-3-habitaciones-2-banos-1-garajes/16115-M6034913
6,"Bodega en Arriendo, Belen, Medellín",belen,13.500.000,500.0,0,4,3,https://www.metrocuadrado.com/inmueble/arriendo-bodega-medellin-belen-4-banos-3-garajes/17698-M6050281
7,"Casa en Arriendo, Poblado, Medellín",poblado,9.500.000,280.0,4,2,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-tesoro-4-habitaciones-2-banos-2-garajes/18537-M6039826
8,"Local Comercial en Arriendo, Poblado, Medellín",poblado,12.000.000,140.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-la-florida/18537-M5986805
9,"Apartamento en Arriendo, Loma Del Indio, Medellín",loma del indio,2.150.000,54.0,2,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-del-indio-2-habitaciones-1-banos-1-garajes/16509-M6043919
10,"Casa en Arriendo, Loma De Los Bernal, Medellín",loma de los berna,2.300.000,42.0,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-loma-de-los-bernal-1-habitaciones-1-banos-1-garajes/16509-M6044740
11,"Apartamento en Arriendo, Las Villas, Medellín",las villas,2.750.000,78.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-las-villas-3-habitaciones-2-banos-1-garajes/16509-M6063309
12,"Apartamento en Arriendo, Loma De Los Bernal, Medellín",loma de los bernal,3.800.000,110.0,4,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-de-los-bernal-4-habitaciones-3-banos-1-garajes/2511-M6064733
13,"Apartamento en Arriendo, Ciudad Del Rio, Medellín",ciudad del rio,3.500.000,65.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-ciudad-del-rio-3-habitaciones-2-banos-1-garajes/11166-M6010905
14,"Apartamento en Arriendo, Belen, Medellín",belen,1.900.000,70.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-hondonada-3-habitaciones-2-banos-1-garajes/17136-M6067767
15,"Local Comercial en Arriendo, Las Palmas, Medellín",las palmas,2.300.000,105.0,0,2,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-las-palmas-2-banos/11166-M6011369
16,"Oficina en Arriendo, El Nogal, Medellín",el noga,9.750.000,162.0,0,1,0,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-el-nogal-1-banos/11166-M6011542
17,"Oficina en Arriendo, El Nogal, Medellín",el noga,5.104.000,88.0,0,1,0,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-el-nogal-1-banos/11166-M6011535
18,"Apartamento en Arriendo, El Poblado, Medellín",el poblado,18.000.000,260.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-4-banos-2-garajes/20765-M6015781
19,"Apartamento en Arriendo, EL POBLADO, Medellín",el poblado,9.300.000,165.0,3,4,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-4-banos-3-garajes/687-M5512141
20,"Apartamento en Arriendo, EL POBLADO, Medellín",el poblado,7.350.000,176.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-3-habitaciones-4-banos-2-garajes/687-M5015783
21,"Apartamento en Arriendo, Lalinde, Medellín",lalin,9.500.000,121.0,2,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-lalinde-2-habitaciones-3-banos-1-garajes/20772-M6015479
22,"Casa en Arriendo, Poblado San Lucas, Medellín",poblado san lucas,22.500.000,381.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-poblado-san-lucas-3-habitaciones-4-banos-2-garajes/20765-M6015148
23,"Apartamento en Arriendo, EL POBLADO, Medellín",el poblado,7.300.000,230.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-3-banos-2-garajes/687-M5015802
24,"Apartamento en Arriendo, EL POBLADO, Medellín",el poblado,6.800.000,128.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-3-banos-2-garajes/687-M5512158
25,"Apartamento en Arriendo, EL POBLADO, Medellín",el poblado,8.800.000,210.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-4-banos-2-garajes/687-M4698307
26,"Apartamento en Arriendo, EL POBLADO, Medellín",el poblado,8.500.000,100.0,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-2-habitaciones-2-banos-2-garajes/687-M5732851
27,"Apartamento en Arriendo, Poblado, Medellín",poblado,9.000.000,120.0,3,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-3-banos-1-garajes/20543-M5997125
28,"Casa en Arriendo, EL POBLADO, Medellín",el poblado,37.000.000,85.0,4,5,4,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-no.1-4-habitaciones-5-banos-4-garajes/687-M5462902
29,"Apartamento en Arriendo, EL POBLADO, Medellín",el poblado,7.250.000,133.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-3-habitaciones-3-banos-2-garajes/687-M5569651
30,"Apartamento en Arriendo, Poblado, Medellín",poblado,6.700.000,126.0,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-alejandria-2-habitaciones-2-banos-1-garajes/20543-M6013191
31,"Apartamento en Arriendo, Calasanz, Medellín",calasanz,2.800.000,54.0,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-calasanz-2-habitaciones-2-banos-1-garajes/19795-M5691390
32,"Casa en Arriendo, EL POBLADO, Medellín",el poblado,60.000.000,200.0,4,5,4,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-no.2-4-habitaciones-5-banos-4-garajes/687-M3828456
33,"Apartamento en Arriendo, El Poblado, Medellín",el poblado,22.000.000,260.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-4-banos-2-garajes/20765-M6015789
34,"Apartamento en Arriendo, EL POBLADO, Medellín",el poblado,5.200.000,88.0,1,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-1-habitaciones-3-banos-2-garajes/687-M5732961
35,"Casa en Arriendo, EL POBLADO, Medellín",el poblado,18.000.000,432.0,3,4,3,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-tesoro-3-habitaciones-4-banos-3-garajes/687-M5462930
36,"Apartamento en Arriendo, EL POBLADO, Medellín",el poblado,6.500.000,134.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-3-habitaciones-3-banos-2-garajes/687-M5680210
37,"Apartamento en Arriendo, Envigado, Medellín",envigado,6.500.000,135.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-sebastian-3-habitaciones-3-banos-2-garajes/20543-M6013210
38,"Apartamento en Arriendo, EL POBLADO, Medellín",el poblado,4.700.000,116.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-florida-3-habitaciones-3-banos-2-garajes/687-M5511812
39,"Apartamento en Arriendo, EL POBLADO, Medellín",el poblado,8.400.000,340.0,3,4,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-diamante-no.2-3-habitaciones-4-banos-3-garajes/687-M5067829
40,"Apartaestudio en Arriendo, Poblado, Medellín",poblado,6.000.000,64.0,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-medellin-los-balsos-no.1-1-habitaciones-2-banos-1-garajes/20543-M6013100
41,"Apartamento en Arriendo, Medellin, Medellín",in,5.250.000,128.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-medellin-3-habitaciones-4-banos-2-garajes/11813-M5777511
