titulo,ubicacion,precio,area_m2,habitaciones,banos,parqueaderos,url
"Apartamento en Arriendo, Poblado, Medellín",El Poblado,7.500.000,130.0,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-2-habitaciones-3-banos-2-garajes/2511-M6052748
"Apartamento en Arriendo, Laureles, Medellín",Laureles | Medellín,2.500.000,48.0,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-laureles-2-habitaciones-2-banos-1-garajes/17143-M6029235
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado,5.500.000,99.0,3,2,0,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-2-banos/11166-M6050438
"Casa en Arriendo, Poblado, Medellín",El Poblado,9.500.000,280.0,4,2,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-tesoro-4-habitaciones-2-banos-2-garajes/18537-M6039826
"Local Comercial en Arriendo, Poblado, Medellín",El Poblado,12.000.000,140.0,0,0,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-la-florida/18537-M5986805
"Apartamento en Arriendo, Loma Del Indio, Medellín",Loma Del Indio,2.150.000,54.0,2,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-del-indio-2-habitaciones-1-banos-1-garajes/16509-M6043919
"Casa en Arriendo, Loma De Los Bernal, Medellín",Loma De Los Bernal,2.300.000,42.0,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-loma-de-los-bernal-1-habitaciones-1-banos-1-garajes/16509-M6044740
"Apartamento en Arriendo, Las Villas, Medellín",Las Villas | Medellín,2.750.000,78.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-las-villas-3-habitaciones-2-banos-1-garajes/16509-M6063309
"Apartamento en Arriendo, Loma De Los Bernal, Medellín",Loma De Los Bernal,3.800.000,110.0,4,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-de-los-bernal-4-habitaciones-3-banos-1-garajes/2511-M6064733
"Apartamento en Arriendo, Ciudad Del Rio, Medellín",Ciudad Del Río,3.500.000,65.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-ciudad-del-rio-3-habitaciones-2-banos-1-garajes/11166-M6010905
"Local Comercial en Arriendo, Las Palmas, Medellín",Las Palmas,2.300.000,105.0,0,2,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-las-palmas-2-banos/11166-M6011369
"Oficina en Arriendo, El Nogal, Medellín",El Nogal,9.750.000,162.0,0,1,0,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-el-nogal-1-banos/11166-M6011542
"Oficina en Arriendo, El Nogal, Medellín",El Nogal,5.104.000,88.0,0,1,0,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-el-nogal-1-banos/11166-M6011535
"Apartamento en Arriendo, La Linde, Medellín",La Linde,3.600.000,70.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-linde-3-habitaciones-2-banos-1-garajes/11166-M6011360
"Local Comercial en Arriendo, Pedregal, Medellín",Pedregal,1.400.000,20.0,0,1,0,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-pedregal-1-banos/11166-M6064739
"Apartamento en Arriendo, Ciudad Del Rio, Medellín",Ciudad Del Río,3.800.000,80.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-ciudad-del-rio-3-habitaciones-2-banos-1-garajes/11166-M6064745
"Apartamento en Arriendo, Los Balsos, Medellín",Los Balsos,4.800.000,117.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-3-habitaciones-2-banos-1-garajes/19115-M6065203
"Apartamento en Arriendo, Castropol, Medellín",Castropol,7.300.000,85.0,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-castropol-1-habitaciones-2-banos-1-garajes/4660-M6040618
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,5.200.000,106.0,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-2-habitaciones-2-banos-2-garajes/687-M5467934
"Apartaestudio en Arriendo, Poblado, Medellín",El Poblado,6.000.000,64.0,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartaestudio-medellin-los-balsos-no.1-1-habitaciones-2-banos-1-garajes/20543-M6013100
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,6.400.000,170.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-florida-3-habitaciones-4-banos-2-garajes/687-M5514610
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,7.100.000,140.0,3,4,3,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-alejandria-3-habitaciones-4-banos-3-garajes/687-M5071973
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,3.650.000,72.0,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-simesa-3-habitaciones-2-banos-1-garajes/687-M5469025
"Apartamento en Arriendo, Poblado, Medellín",El Poblado,6.700.000,126.0,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-alejandria-2-habitaciones-2-banos-1-garajes/20543-M6013191
"Apartamento en Arriendo, Envigado, Medellín",Envigado | Medellín,6.500.000,135.0,3,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-sebastian-3-habitaciones-3-banos-2-garajes/20543-M6013210
"Apartamento en Arriendo, EL POBLADO, Medellín",El Poblado,6.550.000,150.0,3,4,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.2-3-habitaciones-4-banos-2-garajes/687-M5468647
