titulo,ubicacion,precio,caracteristicas,area_m2,habitaciones,banos,parqueaderos,url,codigo,imagen_url,etiquetas,pagina,numero_en_pagina
"Apartamento en Arriendo, Poblado, Medellín",Poblado | Medellín,$11.500.000,"220 m²
3 hab.
5 bañ.
2 par.",220,3,5,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-3-habitaciones-5-banos-2-garajes/19797-M5969784,19797-M5969784,https://multimedia.metrocuadrado.com/19797-M5969784/19797-M5969784_161_p.jpg,[],1,1
"Apartamento en Arriendo, La Tomatera, Medellín",La Tomatera | Medellín,$5.800.000,"52 m²
1 hab.
2 bañ.",52,1,2,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-tomatera-1-habitaciones-2-banos/2214-M5988075,2214-M5988075,https://multimedia.metrocuadrado.com/2214-M5988075/2214-M5988075_12_p.jpg,[],1,2
"Apartamento en Arriendo, Campo Alegre, Medellín",Campo Alegre | Medellín,$2.400.000,"70 m²
2 hab.
2 bañ.
1 par.",70,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-campo-alegre-2-habitaciones-2-banos-1-garajes/19259-M6040759,19259-M6040759,https://multimedia.metrocuadrado.com/19259-M6040759/19259-M6040759_12_p.jpg,[],1,3
"Apartamento en Arriendo, Los Colores, Medellín",Los Colores | Noroccidente | Medellín,$2.850.000,"60 m²
3 hab.
2 bañ.
1 par.",60,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-german-3-habitaciones-2-banos-1-garajes/17136-M6065913,17136-M6065913,https://multimedia.metrocuadrado.com/17136-M6065913/17136-M6065913_1_p.jpg,[],1,4
"Apartamento en Arriendo, CALASANZ PARTE ALTA, Medellín",CALASANZ PARTE ALTA | Noroccidente | Medellín,$2.250.000,"57 m²
3 hab.
2 bañ.
1 par.",57,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-alcazares-3-habitaciones-2-banos-1-garajes/16115-M6034913,16115-M6034913,https://multimedia.metrocuadrado.com/16115-M6034913/16115-M6034913_1_p.jpg,[],1,5
"Bodega en Arriendo, Belen, Medellín",Belen | Medellín,$13.500.000,"500 m²
4 bañ.
3 par.",500,,4,3,https://www.metrocuadrado.com/inmueble/arriendo-bodega-medellin-belen-4-banos-3-garajes/17698-M6050281,17698-M6050281,https://multimedia.metrocuadrado.com/17698-M6050281/17698-M6050281_1_p.jpg,[],1,6
"Casa en Arriendo, Poblado, Medellín",Poblado | Suroriente | Medellín,$9.500.000,"280 m²
4 hab.
2 bañ.
2 par.",280,4,2,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-tesoro-4-habitaciones-2-banos-2-garajes/18537-M6039826,18537-M6039826,https://multimedia.metrocuadrado.com/18537-M6039826/18537-M6039826_96_p.jpg,[],1,7
"Local Comercial en Arriendo, Poblado, Medellín",Poblado | Suroriente | Medellín,$12.000.000,140 m²,140,,,,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-la-florida/18537-M5986805,18537-M5986805,https://multimedia.metrocuadrado.com/18537-M5986805/18537-M5986805_101_p.jpg,[],1,8
"Apartamento en Arriendo, Loma Del Indio, Medellín",Loma Del Indio | Medellín,$2.150.000,"54 m²
2 hab.
1 bañ.
1 par.",54,2,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-del-indio-2-habitaciones-1-banos-1-garajes/16509-M6043919,16509-M6043919,https://multimedia.metrocuadrado.com/16509-M6043919/16509-M6043919_14_p.jpg,[],1,9
"Casa en Arriendo, Loma De Los Bernal, Medellín",Loma De Los Bernal | Medellín,$2.300.000,"42 m²
1 hab.
1 bañ.
1 par.",42,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-loma-de-los-bernal-1-habitaciones-1-banos-1-garajes/16509-M6044740,16509-M6044740,https://multimedia.metrocuadrado.com/16509-M6044740/16509-M6044740_1_p.jpg,[],1,10
