titulo,ubicacion,precio,caracteristicas,area_m2,habitaciones,banos,parqueaderos,url,codigo,pagina,numero_en_pagina
"Apartamento en Arriendo, Poblado, Medellín",Poblado | Suroriente | Medellín,$7.500.000,"130 m²
2 hab.
3 bañ.
2 par.",130,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-2-habitaciones-3-banos-2-garajes/2511-M6052748,2511-M6052748,1,1
"Apartamento en Arriendo, Laureles, Medellín",Laureles | Medellín,$2.500.000,"48 m²
2 hab.
2 bañ.
1 par.",48,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-laureles-2-habitaciones-2-banos-1-garajes/17143-M6029235,17143-M6029235,1,2
"Apartamento en Arriendo, El Poblado, Medellín",El Poblado | Medellín,$5.500.000,"99 m²
3 hab.
2 bañ.",99,3,2,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-2-banos/11166-M6050438,11166-M6050438,1,3
"Casa en Arriendo, Poblado, Medellín",Poblado | Suroriente | Medellín,$9.500.000,"280 m²
4 hab.
2 bañ.
2 par.",280,4,2,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-tesoro-4-habitaciones-2-banos-2-garajes/18537-M6039826,18537-M6039826,1,4
"Local Comercial en Arriendo, Poblado, Medellín",Poblado | Suroriente | Medellín,$12.000.000,140 m²,140,,,,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-la-florida/18537-M5986805,18537-M5986805,1,5
"Apartamento en Arriendo, Loma Del Indio, Medellín",Loma Del Indio | Medellín,$2.150.000,"54 m²
2 hab.
1 bañ.
1 par.",54,2,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-del-indio-2-habitaciones-1-banos-1-garajes/16509-M6043919,16509-M6043919,1,6
"Casa en Arriendo, Loma De Los Bernal, Medellín",Loma De Los Bernal | Medellín,$2.300.000,"42 m²
1 hab.
1 bañ.
1 par.",42,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-loma-de-los-bernal-1-habitaciones-1-banos-1-garajes/16509-M6044740,16509-M6044740,1,7
"Apartamento en Arriendo, Las Villas, Medellín",Las Villas | Medellín,$2.750.000,"78 m²
3 hab.
2 bañ.
1 par.",78,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-las-villas-3-habitaciones-2-banos-1-garajes/16509-M6063309,16509-M6063309,1,8
"Apartamento en Arriendo, Loma De Los Bernal, Medellín",Loma De Los Bernal | Suroccidente | Medellín,$3.800.000,"110 m²
4 hab.
3 bañ.
1 par.",110,4,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-de-los-bernal-4-habitaciones-3-banos-1-garajes/2511-M6064733,2511-M6064733,1,9
"Apartamento en Arriendo, Ciudad Del Rio, Medellín",Ciudad Del Rio | Medellín,$3.500.000,"65 m²
3 hab.
2 bañ.
1 par.",65,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-ciudad-del-rio-3-habitaciones-2-banos-1-garajes/11166-M6010905,11166-M6010905,1,10
"Local Comercial en Arriendo, Las Palmas, Medellín",Las Palmas | Medellín,$2.300.000,"105 m²
2 bañ.",105,,2,,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-las-palmas-2-banos/11166-M6011369,11166-M6011369,1,11
"Oficina en Arriendo, El Nogal, Medellín",El Nogal | Medellín,$9.750.000,"162 m²
1 bañ.",162,,1,,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-el-nogal-1-banos/11166-M6011542,11166-M6011542,1,12
"Oficina en Arriendo, El Nogal, Medellín",El Nogal | Medellín,$5.104.000,"88 m²
1 bañ.",88,,1,,https://www.metrocuadrado.com/inmueble/arriendo-oficina-medellin-el-nogal-1-banos/11166-M6011535,11166-M6011535,1,13
"Apartamento en Arriendo, La Linde, Medellín",La Linde | Medellín,$3.600.000,"70 m²
3 hab.
2 bañ.
1 par.",70,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-linde-3-habitaciones-2-banos-1-garajes/11166-M6011360,11166-M6011360,1,14
"Local Comercial en Arriendo, Pedregal, Medellín",Pedregal | Medellín,$1.400.000,"20 m²
1 bañ.",20,,1,,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-pedregal-1-banos/11166-M6064739,11166-M6064739,1,15
"Apartamento en Arriendo, Ciudad Del Rio, Medellín",Ciudad Del Rio | Medellín,$3.800.000,"80 m²
3 hab.
2 bañ.
1 par.",80,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-ciudad-del-rio-3-habitaciones-2-banos-1-garajes/11166-M6064745,11166-M6064745,1,16
"Apartamento en Arriendo, Los Balsos, Medellín",Los Balsos | Medellín,$4.800.000,"117 m²
3 hab.
2 bañ.
1 par.",117,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-3-habitaciones-2-banos-1-garajes/19115-M6065203,19115-M6065203,1,17
"Apartamento en Arriendo, Castropol, Medellín",Castropol | Medellín,$7.300.000,"85 m²
1 hab.
2 bañ.
1 par.",85,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-castropol-1-habitaciones-2-banos-1-garajes/4660-M6040618,4660-M6040618,1,18
"Apartamento en Arriendo, EL POBLADO, Medellín",EL POBLADO | Suroriente | Medellín,$5.200.000,"106 m²
2 hab.
2 bañ.
2 par.",106,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-2-habitaciones-2-banos-2-garajes/687-M5467934,687-M5467934,1,19
