titulo,ubicacion,precio,caracteristicas,area_m2,habitaciones,banos,parqueaderos,url,codigo,pagina,numero_en_pagina
"Apartamento en Arriendo, Medellin, Medellín",Medellin | Medellín,$3.400.000,"85 m²
3 hab.
2 bañ.",85,3,2,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-medellin-3-habitaciones-2-banos/11813-M5965769,11813-M5965769,1,1
"Apartamento en Arriendo, Campo Alegre, Medellín",Campo Alegre | Medellín,$2.400.000,"70 m²
2 hab.
2 bañ.
1 par.",70,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-campo-alegre-2-habitaciones-2-banos-1-garajes/19259-M6040759,19259-M6040759,1,2
"Casa en Arriendo, Palmas, Medellín",Palmas | Medellín,$70.000.000,"999 m²
4 hab.
5 bañ.
4 par.",999,4,5,4,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-na-4-habitaciones-5-banos-4-garajes/19797-M6051683,19797-M6051683,1,3
"Local Comercial en Arriendo, Villa Nueva, Medellín",Villa Nueva | Medellín,$10.000.000,144 m²,144,,,,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-villa-nueva/19474-M5674368,19474-M5674368,1,4
"Apartamento en Arriendo, Los Colores, Medellín",Los Colores | Noroccidente | Medellín,$2.850.000,"60 m²
3 hab.
2 bañ.
1 par.",60,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-german-3-habitaciones-2-banos-1-garajes/17136-M6065913,17136-M6065913,1,5
"Apartamento en Arriendo, CALASANZ PARTE ALTA, Medellín",CALASANZ PARTE ALTA | Noroccidente | Medellín,$2.250.000,"57 m²
3 hab.
2 bañ.
1 par.",57,3,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-alcazares-3-habitaciones-2-banos-1-garajes/16115-M6034913,16115-M6034913,1,6
"Bodega en Arriendo, Belen, Medellín",Belen | Medellín,$13.500.000,"500 m²
4 bañ.
3 par.",500,,4,3,https://www.metrocuadrado.com/inmueble/arriendo-bodega-medellin-belen-4-banos-3-garajes/17698-M6050281,17698-M6050281,1,7
"Casa en Arriendo, Poblado, Medellín",Poblado | Suroriente | Medellín,$9.500.000,"280 m²
4 hab.
2 bañ.
2 par.",280,4,2,2,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-tesoro-4-habitaciones-2-banos-2-garajes/18537-M6039826,18537-M6039826,1,8
"Local Comercial en Arriendo, Poblado, Medellín",Poblado | Suroriente | Medellín,$12.000.000,140 m²,140,,,,https://www.metrocuadrado.com/inmueble/arriendo-local-comercial-medellin-la-florida/18537-M5986805,18537-M5986805,1,9
"Apartamento en Arriendo, Loma Del Indio, Medellín",Loma Del Indio | Medellín,$2.150.000,"54 m²
2 hab.
1 bañ.
1 par.",54,2,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-del-indio-2-habitaciones-1-banos-1-garajes/16509-M6043919,16509-M6043919,1,10
